sale_date,sale_amount,address,land_area,multi_lot_sale
1994-07-15,445000,"20 HURSTFORD CL, PEPPERMINT GROVE",743.61,N
1999-03-06,615000,"34 A LEAKE ST, PEPPERMINT GROVE",950,N
2002-09-18,710000,"9 CROSSLAND CT, PEPPERMINT GROVE",868,N
2015-04-24,1500000,"3 CROSSLAND CT, PEPPERMINT GROVE",760,N
2015-09-30,3100000,"19 VIEW ST, PEPPERMINT GROVE",1191,N
2015-09-11,3000000,"19 A VIEW ST, PEPPERMINT GROVE",1166,N
2018-04-06,1950000,"66 R LEAKE ST, PEPPERMINT GROVE",963,N
1996-09-14,555000,"53 R IRVINE ST, PEPPERMINT GROVE",907,N
1999-10-27,3640000,"43 IRVINE ST, PEPPERMINT GROVE",783,Y
1998-07-06,790000,"48 IRVINE ST, PEPPERMINT GROVE",787,N
1995-03-15,1850000,"50 THE ESPLANADE , PEPPERMINT GROVE",1809,N
1995-02-25,1760000,"34 THE ESPLANADE , PEPPERMINT GROVE",1559,N
1996-03-21,745000,"155 FORREST ST, PEPPERMINT GROVE",764,N
2022-01-20,6000000,"153 FORREST ST, PEPPERMINT GROVE",1821,N
2014-03-26,1800000,"25 HURSTFORD CL, PEPPERMINT GROVE",700,N
2001-11-13,2775000,"132 FORREST ST, PEPPERMINT GROVE",1819,Y
2018-12-03,3900000,"144 FORREST ST, PEPPERMINT GROVE",1734,N
2022-03-08,4250000,"39 MCNEIL ST, PEPPERMINT GROVE",1136,N
2022-10-05,4000000,"4 PINDARI PL, PEPPERMINT GROVE",808,N
2020-02-15,3200000,"46 KEANE ST, PEPPERMINT GROVE",875,N
2020-10-17,2650000,"44 KEANE ST, PEPPERMINT GROVE",1038,N
2020-07-25,2650000,"4 BAY VIEW TCE, PEPPERMINT GROVE",832,N
2021-08-01,4100000,"42 KEANE ST, PEPPERMINT GROVE",890,N
1994-03-01,1175000,"39 VIEW ST, PEPPERMINT GROVE",1461,N
2005-07-21,1850000,"11 BUNGALOW CT, PEPPERMINT GROVE",394,N
2009-09-25,2050000,"9 BUNGALOW CT, PEPPERMINT GROVE",432,N
2009-10-09,2050000,"7 BUNGALOW CT, PEPPERMINT GROVE",446,N
1996-07-17,475000,"49 A JOHNSTON ST, PEPPERMINT GROVE",743,N
2021-04-07,4250000,"10 BAY VIEW TCE, PEPPERMINT GROVE",926,N
2014-11-28,4200000,"8 BAY VIEW TCE, PEPPERMINT GROVE",1100,N
2022-07-27,4440000,"12 BAY VIEW TCE, PEPPERMINT GROVE",926,N
2012-12-01,2100000,"16 BAY VIEW TCE, PEPPERMINT GROVE",700,N
1996-03-31,650000,"36 KEANE ST, PEPPERMINT GROVE",697,N
2011-09-20,4700000,"39 KEANE ST, PEPPERMINT GROVE",1818,N
1993-05-08,785000,"9 VENN ST, PEPPERMINT GROVE",728,Y
1990-05-23,620000,"556 STIRLING HWY, PEPPERMINT GROVE",339,Y
1990-05-23,620000,"556 STIRLING HWY, PEPPERMINT GROVE",339,Y
1990-05-23,620000,"556 STIRLING HWY, PEPPERMINT GROVE",587,Y
2001-04-26,740000,"2 COLUMBA PL, PEPPERMINT GROVE",800,N
2013-03-28,1600000,"30 B JOHNSTON ST, PEPPERMINT GROVE",515.974,N
2021-11-12,2200000,"32 JOHNSTON ST, PEPPERMINT GROVE",515.974,N
2005-10-16,670000,"36 JOHNSTON ST, PEPPERMINT GROVE",515.974,N
2023-07-25,4100000,"10 BAY VIEW TCE, PEPPERMINT GROVE",926,N
